Concurrency, Avg chrome pdf generation, Avg pdfmake pdf generation, Avg pdfmake image download, Avg pdfmake pdf creation
1,1020.25,281.85,21.2,260.65
6,1562.98,947.16,698.81,248.34
11,2698.6,1620.47,1370.18,250.3
16,3633.84,2240.34,1994.6,245.73
21,4431.07,2889.76,2645.28,244.48
26,5828.29,3549.37,3304.07,245.3
31,8031.59,4160.45,3918.63,241.82
36,8865.93,5693.98,5408.56,285.42
41,15022.12,6533.34,6245.29,288.04
46,13345.47,7055.8,6778.16,277.63
