Concurrency, Avg chrome pdf generation, Avg pdfmake pdf generation, Avg pdfmake image download, Avg pdfmake pdf creation
1,1013.35,46.25,6.35,39.9
6,983.74,125.48,95.04,30.43
11,1057.85,198.6,168.19,30.42
16,1178.51,285.53,254.9,30.63
21,1371.12,380.38,348.18,32.2
26,1447.07,454.71,423.34,31.36
31,1497.75,527.54,496.68,30.85
36,1640.7,614.24,583.23,31
41,1855.18,698.85,668.25,30.6
46,2250.32,777.03,746.05,30.98
